user_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_segment,segment_name
4458,408,7,215.47,1,5,4,154,Нельзя потерять
1716,281,3,215.62,3,3,4,334,Обычные клиенты
3542,367,4,215.83,2,3,4,234,Обычные клиенты
434,210,2,215.88,4,1,4,414,Обычные клиенты
41,329,6,215.99,2,5,4,254,Нельзя потерять
400,106,5,216.09,5,5,4,554,Лояльные клиенты
3204,224,5,216.34,3,5,4,354,Обычные клиенты
2436,121,5,216.55,5,5,4,554,Лояльные клиенты
544,316,3,216.71,2,2,4,224,Засыпающие
1199,138,5,216.74,5,5,4,554,Лояльные клиенты
274,284,4,217.04,3,4,4,344,Обычные клиенты
4490,373,5,217.08,2,5,4,254,Нельзя потерять
4830,158,3,217.37,4,2,4,424,Потенциальные лоялисты
2213,156,4,217.53,4,4,4,444,Лояльные клиенты
37,345,6,217.6,2,5,4,254,Нельзя потерять
4387,255,5,217.81,3,5,4,354,Обычные клиенты
1820,23,6,218.4,5,5,4,554,Лояльные клиенты
1080,133,4,218.83,5,4,4,544,Лояльные клиенты
3843,347,7,218.83,2,5,4,254,Нельзя потерять
3228,388,7,218.84,1,5,4,154,Нельзя потерять
432,434,5,218.86,1,5,4,154,Нельзя потерять
322,379,4,218.87,1,3,4,134,Обычные клиенты
4439,89,5,219.06,5,4,4,544,Лояльные клиенты
1527,150,5,219.43,4,4,4,444,Лояльные клиенты
1112,423,4,219.75,1,4,4,144,Нельзя потерять
